Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers
Brand New Key,Melanie,October 1971,"Folk, pop, soft rock",2:26,Neighborhood,Melanie Safka,Peter Schekeryk
Breaking Up Is Hard to Do,Neil Sedaka,June 1962,"Brill Building, doo-wop",2:18,RCA Victor,"Neil Sedaka, Howard Greenfield",
Break My Soul,Beyoncé,"June 20, 2022","Diva house, dance-pop","4:38 (album version)
3:55 (radio edit)",", Parkwood, 
, Columbia,","Beyoncé, Terius Nash, Christopher Stewart, Shawn Carter, Freddie Ross, Adam Pigott, G Syier Hawkins Brown, Allen George, Fred McFarlane","Beyoncé, The-Dream, Tricky Stewart, Jens Christian Isaksen"
Break Your Heart,Taio Cruz,20 September 2009 (2009-09-20) (UK)2 February 2010 (2010-02-02) (US),"Dance-pop, electropop",3:23 (original version)3:05 (single version/remix with Ludacris),"Island, Mercury","Taio Cruz, Fraser T Smith, Chris Bridges, (remix)","Taio Cruz, Fraser T Smith"
Bridge over Troubled Water (song),Simon & Garfunkel,"January 20, 1970 (1970-01-20)","Pop rock, [, 1, ], ·, gospel, [, 2, ], ·, soft rock, [, 3, ]",4:55,Columbia,Paul Simon,"Roy Halee, Paul Simon, Art Garfunkel"
Broken Wings (Mr. Mister song),Mr. Mister,"June 6, 1985[1]","Pop rock, new wave","5:42 (album version)
4:43 (radio/video edit)
4:30 (7"" edit)",RCA,"Richard Page, Steve George, John Lang","Mr. Mister, Paul De Villiers"
Brother Louie (Hot Chocolate song),Hot Chocolate,1973,,4:23,Rak,"Errol Brown, Tony Wilson",Mickie Most
Brown Sugar (Rolling Stones song),The Rolling Stones,16 April 1971 (1971-04-16),"Hard rock, [, 1, ], [, 2, ], rock and roll, [, 3, ], [, 4, ], blues rock, [, 5, ], boogie rock, [, 6, ]",3:50,Rolling Stones,Jagger–Richards,Jimmy Miller
Bump n' Grind (R. Kelly song),R. Kelly,"January 28, 1994 (1994-01-28)",R&B,4:14,Jive,Robert Kelly,R. Kelly
"Bump, Bump, Bump","B2K, P. Diddy","October 23, 2002","R&B, hip hop",,", TUG, 
, Epic,","Robert Kelly, Varick Smith",R. Kelly
Burn (Usher song),Usher,"March 21, 2004 (2004-03-21)",R&B,4:15,Arista Nashville,"Jermaine Dupri, Bryan-Michael Cox, Usher","Jermaine Dupri, Bryan Michael Cox"
Butterfly (Crazy Town song),Crazy Town,"October 24, 2000",Rap rock,3:36,Columbia,,"Josh Abraham, Bret Mazur, [, 1, ]"
Butter (song),BTS,"May 21, 2021 (2021-05-21)","Dance-pop, disco, -, pop, EDM",2:44,", Big Hit, 
, Sony Music,","Jenna Andrews, Rob Grimaldi, Stephen Kirk, RM, Alex Bilowitz, Sebastian Garcia, Ron Perry","Grimaldi, Kirk, Perry"
Buy U a Drank (Shawty Snappin'),"T-Pain, Yung Joc","February 20, 2007 (2007-02-20)","R&B, snap, [, 1, ]",3:48,", Nappy Boy, 
, Konvict, 
, Jive,","Faheem Najm, Jasiel Robinson",T-Pain
Calcutta (song),Lawrence Welk,December 1960[1],"Easy listening, [, 2, ]",2:13,Dot,Heino Gaze,Artie Ripp
California Gurls,"Katy Perry, Snoop Dogg","May 7, 2010 (2010-05-07)","Bubblegum pop, disco-pop, funk-pop",3:56,Capitol,"Katy Perry, Lukasz Gottwald, Max Martin, Benjamin Levin, Bonnie McKee, Calvin Broadus","Dr. Luke, Benny Blanco, Max Martin"
California Love,"2Pac, Dr. Dre, Roger Troutman","December 3, 1995 (1995-12-03)","West Coast hip hop, [, 1, ], gangsta rap, [, 2, ], G-funk, [, 3, ]","6:29 (original version)
6:26 (remix)",", Death Row, 
, Interscope,","Tupac Shakur, Andre Young, Roger Troutman, Larry Troutman, Mikel Hooks, Norman Durham, Ronald Hudson, Woody Cunningham, Joe Cocker, Chris Stainton, James Anderson, (uncredited), [, 4, ], [, 5, ]",Dr. Dre
Call Me Maybe,Carly Rae Jepsen,"September 20, 2011 (2011
-09-20)","Pop, teen pop, dance-pop, bubblegum pop",3:13,", 604, 
, Schoolboy, 
, Interscope,","Carly Rae Jepsen, Josh Ramsay, Tavish Crowe",Josh Ramsay
Call Me (Blondie song),Blondie,"January 29, 1980 (US)","Dance-rock, [, 2, ], punk rock, [, 3, ], new wave, [, 4, ], Eurodisco, [, 5, ]","2:15 (music video version)
3:32 (radio edit)
8:05 (album version)",", Polydor, 
, Chrysalis, 
, Salsoul,","Debbie Harry, Giorgio Moroder",Giorgio Moroder
Candle in the Wind 1997,Elton John,13 September 1997 (1997-09-13),Pop rock,"3:59 (""Something About the Way You Look Tonight"")
4:11 (""Candle in the Wind 1997"")",", Rocket, 
, A&M,","Elton John, Bernie Taupin",George Martin
Candy Shop,"50 Cent, Olivia","February 8, 2005",East Coast hip hop,3:29,", Interscope, 
, Aftermath, 
, Shady, 
, G-Unit,","Curtis Jackson, Scott Storch",Scott Storch
Can't Buy Me Love,the Beatles,"16 March 1964 (1964-03-16) (US)
20 March 1964 (UK)","Rock and roll, [, 1, ], pop rock, [, 2, ], R&B, [, 3, ]",2:11,"Parlophone,  (UK), , Capitol,  (US)",Lennon–McCartney,George Martin
Can't Feel My Face,the Weeknd,"June 8, 2015 (2015-06-08)","Pop, disco, funk, electro, [, 2, ]",3:35,"XO, Republic","Ali Payami, Savan Kotecha, Max Martin, Abel Tesfaye, Peter Svensson","Max Martin, Ali Payami"
Can't Fight This Feeling,REO Speedwagon,"December 17, 1984[1]","Soft rock, [, 2, ], arena rock, [, 3, ]",4:54,Epic,Kevin Cronin,"Kevin Cronin, Gary Richrath, Alan Gratzer"
"Can't Get Enough of Your Love, Babe",Barry White,"June 28, 1974","Philadelphia soul, [, 1, ], proto-disco, [, 1, ]","3:28 (single version)
4:04 (dance version)
4:31 (album version)",", Philips, 
, 20th Century Fox,",Barry White,Barry White
Can't Help Falling in Love,Elvis Presley,"November 21, 1961","Pop, [, 1, ], easy listening, [, 1, ]",2:59,RCA Victor,"Hugo Peretti, Luigi Creatore, George David Weiss, [, 2, ]","Elvis Presley (Joseph Lilley for Paramount Pictures), [, 3, ]"
Can't Hold Us,"Macklemore & Ryan Lewis, Ray Dalton","August 16, 2011
January 24, 2013 (re-release)","Industrial hip hop, pop rap, experimental pop","4:18 (album version)
3:35 (US radio edit)",", Macklemore LLC, 
, Elektra,","Ben Haggerty, Ryan Lewis, Ray Dalton",Ryan Lewis
Can't Nobody Hold Me Down,"Puff Daddy, Mase","January 7, 1997",Hip hop,3:52,"Bad Boy, Arista","Mason Betha, [, 1, ]","Nashiem Myrick, Carlos Broady, Sean ""Puffy"" Combs, Stevie J"
Can't Stop the Feeling!,Justin Timberlake,"May 6, 2016 (2016-05-06)","Disco-pop, soul-pop",3:58,RCA,"Justin Timberlake, Max Martin, Shellback","Timberlake, Martin, Shellback"
Cardigan (song),Taylor Swift,"July 27, 2020 (2020-07-27)","Folk, indie rock, soft rock",4:00,Republic,"Taylor Swift, Aaron Dessner",Aaron Dessner
Careless Whisper,George Michael,20 July 1984[1],"Pop, [, 2, ], soul, [, 3, ], R&B, [, 4, ], quiet storm, [, 5, ]","6:30 (album version)
5:04 (7″ and video version)",", Epic, 
, Columbia, 
, Sony,","George Michael, Andrew Ridgeley","George Michael, Jerry Wexler, (original)"
Caribbean Queen (No More Love on the Run),Billy Ocean,1984,"Post-disco, [, 1, ], funk, -, pop, [, 2, ]",7:52 (album version)4:06 (edit)3:42 (single version)8:14 (extended mix),Jive,"Billy Ocean, Keith Diamond",Keith Diamond
Carnival (¥$ song),"¥$, Rich the Kid, Playboi Carti, [a]","February 15, 2024",Hip Hop,4:24,YZY,"Ye, Tyrone Griffin, Jr., Dimitri Roger, Jordan Carter, Mark Williams, Grant Dickinson, Raul Cubina, The Legendary Traxster","Ye, Ty Dolla Sign, Ojivolta, TheLabCook, The Legendary Traxster"
Car Wash (song),Rose Royce,September 1976,"Disco, funk","5:06 (album version)
3:18 (single version)",MCA,Norman Whitfield,Norman Whitfield
Cathy's Clown,the Everly Brothers,April 1960,"Pop, [, 1, ]",2:22,Warner Bros.,Don Everly,Wesley Rose
Cat's in the Cradle,Harry Chapin,1974,"Folk rock, [, 1, ], [, 2, ], soft rock, [, 3, ], [, 4, ]","3:29 (single version)
3:45 (album version)",Elektra,"Harry Chapin, Sandra Chapin",Paul Leka
Celebration (Kool & the Gang song),Kool & the Gang,October 1980,"Post-disco, [, 1, ], funk, [, 2, ]",3:42 (7-inch version)4:17 (video version)5:00 (12-inch / album version),De-Lite,"Ronald Nathan Bell, Claydes Charles Smith, George Melvin Brown, James ""J.T."" Taylor, Robert Spike Mickens, Earl Eugene Toon Jr., Dennis Ronald Thomas, Robert Earl Bell, Eumir Deodato","Eumir Deodato, Kool & the Gang"
Centerfold (song),The J. Geils Band,"September 13, 1981","Power pop, [, 1, ], pop rock, [, 2, ], [, 3, ], synth-rock, [, 4, ]","3:365:01 (12"")",EMI America,Seth Justman,Seth Justman
Chapel of Love,The Dixie Cups,April 1964,"Pop, [, 1, ], [, 2, ]",2:45,Red Bird,"Jeff Barry, Ellie Greenwich, and, Phil Spector","Jerry Leiber, Mike Stoller, Ellie Greenwich and Jeff Barry"
Chariots of Fire (instrumental),Vangelis,April 1981 (UK)December 1981 (US)[1],"Orchestral pop, film score, symphonic",3:32,Polydor,Vangelis,Vangelis
Cheap Thrills (song),"Sia, Sean Paul",17 December 2015 (original)  11 February 2016 (remix),"Dancehall, pop",3:44,", Inertia, 
, Monkey Puzzle, 
, RCA,","Sia Furler, Greg Kurstin, Sean Paul Henriques, (remix)",Greg Kurstin
Check on It,"Beyoncé, Slim Thug, Bun B","October 11, 2005 (2005-10-11)","R&B, hip hop",3:30,"Columbia, Music World","Beyoncé Knowles, Kasseem Dean, Bernard Freeman, Sean Garrett, Angela Beyincé, Stayve Thomas",Swizz Beatz
Cheerleader (Omi song),Omi,"2012 (original)
2014 (Felix Jaehn remix)","Reggae fusion, (original version), deep house, (, Felix Jaehn, remix)","2:54 (original)
3:00 (Felix Jaehn remix)",", Oufah, 
, Ultra, 
, Columbia,","Omar Samuel Pasley, Clifton Dillon, Mark Bradford, Darren Moran, Ryan Dillon, Sly Dunbar","OMI, Clifton Dillon, Felix Jaehn"
Cherish (The Association song),the Association,August 1966,"Pop, [, 1, ], soft rock, [, 2, ]","3:25 (album)
3:13 (single)",Valiant,Terry Kirkman,Curt Boettcher
Circles (Post Malone song),Post Malone,"August 30, 2019 (2019-08-30)",Soft rock,3:35,Republic,"Austin Post, Louis Bell, Adam Feeney, Kaan Gunesberk, Billy Walsh","Post Malone, Louis Bell, Frank Dukes"
Closer (The Chainsmokers song),"the Chainsmokers, Halsey","July 29, 2016 (2016-07-29)","Future bass, [, 1, ], [, 2, ], electropop, [, 3, ]",4:04,"Disruptor, Columbia","Andrew Taggart, Ashley Frangipane, Shaun Frank, Frederic Kennett, Isaac Slade, Joe King",The Chainsmokers
Close to You (Maxi Priest song),Maxi Priest,1990,"Pop, dance-pop, R&B, soul, reggae fusion, new jack swing",3:37 (radio mix)5:25 (album version),Charisma,"Maxi Priest, Gary Benson, Winston Sela","Handel Tucker, Geoffrey Chung, Lowell ""Sly"" Dunbar"
Cold Hearted (Paula Abdul song),Paula Abdul,"June 2, 1989 (1989-06-02)","New jack swing, [, 1, ], dance-pop, [, 2, ]",3:51,Virgin,Elliot Wolff,Elliot Wolff
Come On Eileen,Dexys Midnight Runners and the Emerald Express,"June 25, 1982 (UK)January 1983 (US)","New wave, [, 1, ], Celtic folk, [, 2, ], blue-eyed soul, [, 2, ], pop, [, 2, ], pop rock, [, 3, ]",4:12 (single version)4:07 (without fiddle intro)4:47 (with a cappella coda)3:48 (video version)3:28 (special DJ edit),Mercury,"Kevin Rowland, Jim Paterson, Billy Adams","Clive Langer, Alan Winstanley"
Come On Over Baby (All I Want Is You),Christina Aguilera,"July 11, 2000 (2000-07-11)","Bubblegum pop, [, 2, ], dance-pop, [, 3, ]",3:09,RCA,"Johan Åberg, Paul Rein, Christina Aguilera, Ron Fair, Chaka Blackmon, Raymond Cham, Eric Dawkins, Shelly Peiken, Guy Roche","Ron Fair, Celebrity Status"
Come See About Me,the Supremes,"October 27, 1964","Pop, R&B",2:39,Motown,Holland–Dozier–Holland,"Brian Holland, Lamont Dozier"
Come Softly to Me,The Fleetwoods,"February 16, 1959 (Dolphin)April, 1959 (Liberty)","Pop, [, 1, ]",2:25,"Dolphin Records, , , Liberty Records","Gretchen Christopher, Barbara Ellis and Gary Troxel",Bob Reisdorff
Come Together,the Beatles,6 October 1969 (1969-10-06),"Blues rock, [, 1, ], swamp rock, [, 2, ], rock and roll, [, 3, ]",4:19,Apple,Lennon–McCartney,George Martin
Coming Out of the Dark,Gloria Estefan,"January 10, 1991 (1991-01-10)","Dance-pop, gospel, soul",4:02,Epic,"Gloria Estefan, Emilio Estefan Jr., Jon Secada","Emilio Estefan Jr., Jorge Casas, Clay Ostwald"
Coming Up (song),Paul McCartney,11 April 1980 (1980-04-11)[1],"Funk rock, [, 2, ], new wave, [, 3, ], disco, [, 3, ]","3:49 (album/single edit)5:35 (full length version)4:10 (""Live at Glasgow"" version)","Parlophone,  (UK), Columbia,  (US)",Paul McCartney,Paul McCartney
Confessions Part II,Usher,"June 1, 2004",R&B,3:49,Arista,"Usher Raymond, Jermaine Dupri, Bryan-Michael Cox","Jermaine Dupri, Bryan-Michael Cox"
Convoy (song),C. W. McCall,November 1975,"Country, truck-driving country",3:49,MGM,"Bill Fries, Chip Davis","Don Sears, Chip Davis"
Could've Been (Tiffany song),Tiffany,"November 20, 1987[1]","Pop, [, 2, ]",3:32,MCA Records,Lois Blaisch,George Tobin
Cracklin' Rosie,Neil Diamond,"July 30, 1970","Soft rock, pop",2:54,Uni,Neil Diamond,Tom Catalano
Crack a Bottle,"Eminem, Dr. Dre, 50 Cent","February 2, 2009",Hip hop,4:57 (album version)5:15 (single version),"Aftermath, Shady, Interscope","Marshall Mathers, Andre Young, Curtis Jackson, Mark Batson, Dawaun Parker, Trevor Lawrence, Jr., Jean Renard",Dr. Dre
Crank That (Soulja Boy),Soulja Boy Tell'em,"May 2, 2007 (2007-05-02)","Pop-rap, [, 2, ], snap, [, 3, ]",3:42,"Collipark, Interscope, HHH","DeAndre Way, [, 4, ]",Soulja Boy
Crazy for You (Madonna song),Madonna,"March 2, 1985",Pop,4:08,", Geffen, 
, CBS,","John Bettis, Jon Lind","John ""Jellybean"" Benitez"
Crazy in Love,"Beyoncé, Jay-Z","May 18, 2003 (2003-05-18)","Pop, [, 1, ], hip hop, R&B, [, 2, ]",3:56,Columbia,"Beyoncé Knowles, Rich Harrison, Eugene Record, Shawn Carter","Beyoncé Knowles, Rich Harrison"
Crazy Little Thing Called Love,Queen,"12 October 1979 (UK)[1]
7 December 1979 (US)","Rock and roll, [, 2, ], [, 3, ], rockabilly, [, 4, ]",2:42,", EMI,  (UK), 
, Elektra,  (US),",Freddie Mercury,"Queen, Reinhold Mack"
Cream (Prince song),"Prince, the New Power Generation","September 9, 1991 (1991-09-09)[1]","Pop, [, 3, ], funk, [, 4, ], glam rock, [, 5, ], R&B, [, 6, ]",4:12,", Paisley Park, 
, Warner Bros.,",Prince,Prince
Creep (TLC song),TLC,"October 13, 1994",R&B,4:29,", LaFace, 
, Arista,",Dallas Austin,Dallas Austin
Crimson and Clover,Tommy James and the Shondells,November 1968 (1968-11),"Psychedelic pop, [, 1, ], [, 2, ], psychedelic rock, [, 3, ], [, 4, ], bubblegum pop, [, 4, ], [, 5, ]",5:32 (album version)3:23 (single version),"Roulette, , R-7028","Tommy James, Peter Lucia",Tommy James
Crocodile Rock,Elton John,27 October 1972 (UK)20 November 1972 (US),"Rock and roll, [, 1, ], glam rock, [, 2, ], pop rock, [, 2, ]","3:56 (album version, US 45 version)3:23 (single version)","DJM,  (UK), MCA,  (US)","Elton John, Bernie Taupin",Gus Dudgeon
Cruel Summer (Taylor Swift song),Taylor Swift,"June 13, 2023 (2023-06-13)","Synth-pop, electropop, industrial pop",2:58,Republic,"Taylor Swift, Jack Antonoff, Annie Clark","Taylor Swift, Jack Antonoff"
Dancing Queen,ABBA,16 August 1976 (Sweden)[1],"Disco, Europop",3:50,", Polar, 
, Epic, 
, Atlantic,","Benny Andersson, Björn Ulvaeus, Stig Anderson","Benny Andersson, Björn Ulvaeus"
Dark Horse (Katy Perry song),"Katy Perry, Juicy J","December 17, 2013","Trap, hip hop, pop rap, electropop",3:35,Capitol,"Katy Perry, Jordan Houston, Lukasz Gottwald, Sarah Hudson, Max Martin, Henry Walter","Dr. Luke, Max Martin, Cirkut"
Dark Lady (song),Cher,December 1973,"Pop, [, 1, ]",3:27,MCA,Johnny Durrill,Snuff Garrett
Daydream Believer,the Monkees,"October 25, 1967","Psychedelic pop, [, 1, ], [, 2, ], baroque pop, [, 2, ]",3:00,"Colgems,  #1012",John Stewart,Chip Douglas
Da Doo Ron Ron,the Crystals,April 1963,"R&B, pop, rock and roll",2:18,Philles,"Phil Spector, Jeff Barry, Ellie Greenwich",Phil Spector
Da Ya Think I'm Sexy?,Rod Stewart,10 November 1978 (UK)[1],"Disco, [, 2, ]",5:31 (album version)6:29 (12-inch version),Warner Bros.,"Rod Stewart, Carmine Appice, Duane Hitchings",Tom Dowd
"December, 1963 (Oh, What a Night)",the Four Seasons,December 1975[1],"Disco, [, 2, ], [, 3, ], [, 4, ], doo-wop, [, 4, ], pop, [, 5, ], soft rock, [, 5, ]","3:36 (album version)
3:20 (single version)",", Warner Bros., 
, Curb,","Bob Gaudio, Judy Parker",Bob Gaudio
Deep Purple (song),,,,,,,
Delta Dawn,,1971,"Country, folk rock",4:02,Capitol,"Larry Collins, Alex Harvey",Michael Sunday
Despacito,"Luis Fonsi, Daddy Yankee","January 13, 2017","Reggaeton, Latin pop",3:47,Universal Latin,"Luis Fonsi, Erika Ender, Daddy Yankee","Mauricio Rengifo, Andrés Torres"
Diamonds (Rihanna song),Rihanna,"September 26, 2012 (2012-09-26)","Pop, electronic, R&B",3:45,", Def Jam, 
, SRP,","Sia Furler, Benjamin Levin, Mikkel S. Eriksen, Tor Erik Hermansen","Benny Blanco, Stargate"
Didn't We Almost Have It All,Whitney Houston,July 1987,"Orchestral pop, R&B, soul",5:05 (album version)4:38 (single version),Arista,"Michael Masser, Will Jennings",Michael Masser
Die for You (The Weeknd song),the Weeknd,"September 19, 2017 (2017-09-19)",R&B,"4:20 (album version)
3:40 (radio edit)","XO, Republic","Abel Tesfaye, Martin McKinney, Mejdi Rhars, Dylan Wiggins, Magnus Høiberg, William Thomas Walsh, Henry Walter","Doc McKinney, Cirkut, The Weeknd, Cashmere Cat, Prince 85"
Dilemma (Nelly song),"Nelly, Kelly Rowland","June 25, 2002","Pop, R&B",4:49,", Universal, 
, Columbia,","Nelly, Antoine ""Bam"" Macon, Ryan Bowser, Kenneth Gamble, Bunny Sigler","Macon, Bowser"
Dirty Diana,Michael Jackson,"April 18, 1988 (1988-04-18)","Pop rock, hard rock, glam metal","4:52 (album version)
4:40 (single edit)",Epic,Michael Jackson,"Quincy Jones, Michael Jackson (, co., )"
Disco Duck,Rick Dees,"September 4, 1976","Disco, novelty",3:17,"Fretone (initial release), RSO,  (wide distribution)",Rick Dees,Bobby Manuel
Disco Lady,Johnnie Taylor,January 1976,"Soul, [, 1, ], disco, [, 2, ]",4:02 (Promo Version) 4:28 (Album Version),Columbia,"Harvey Scales, Albert Vance, Don Davis",Don Davis
Disturbia (song),Rihanna,"June 17, 2008 (2008-06-17)","Dance-pop, electropop",3:59,", Def Jam, 
, SRP,","Brian Kennedy, Chris Brown, Robert Allen, Andre Merritt","Brian Kennedy, Makeba Riddick"
Dizzy (Tommy Roe song),Tommy Roe,"November 13, 1968","Bubblegum pop, [, 1, ]",2:52,ABC,"Tommy Roe, Freddy Weller",Steve Barri
Doesn't Really Matter,Janet Jackson,"May 23, 2000 (2000-05-23)","Electropop, R&B, dance",4:18,", Def Jam, 
, Virgin,","Janet Jackson, James Harris III, Terry Lewis","Jimmy Jam and Terry Lewis, Janet Jackson"
Dominique,Sœur Sourire,October 1963[1],Folk,2:53,Philips,Jeanine Deckers,
Don't Break the Heart That Loves You,Connie Francis,January 1962,"Country, [, 1, ]",2:58,"MGM Records,  , K 13059","Benny Davis, Murray Mencher","Danny Davis, Arnold Maxin"
Don't Forget About Us,Mariah Carey,"October 10, 2005 (2005-10-10)","R&B, hip hop soul",3:53,Island,"Mariah Carey, Jermaine Dupri, Johntá Austin, Bryan-Michael Cox","Mariah Carey, Jermaine Dupri, Bryan-Michael Cox"
Don't Give Up on Us (song),David Soul,1976 (UK)[1]January 1977 (U.S.),"Soft rock, [, 2, ], [, 3, ]",3:32,"Private Stock, [, 1, ]","Tony Macaulay, [, 1, ]","Tony Macaulay, [, 1, ]"
Don't Go Breaking My Heart,"Elton John, Kiki Dee",25 June 1976 (1976-06-25),"Pop, [, 3, ], [, 4, ], disco, [, 4, ]",4:31,"Rocket,  (UK), MCA,  (US)","Elton John, Bernie Taupin, [, a, ]",Gus Dudgeon
Don't Leave Me This Way,Harold Melvin & the Blue Notes,"November 1975 (as an album track)
November 1976 (as a single)","Rhythm and blues, soul, disco","6:08 (album version)
3:59 (7″ edit)
7:07 (12″ version)
11:00 (1984 version)",Philadelphia International,"Kenneth Gamble, Leon Huff, Cary Gilbert","Kenneth Gamble, Leon Huff"
Don't Let the Sun Go Down on Me,Elton John,24 May 1974[1],"Orchestral pop, [, 2, ]",5:35,", MCA, 
, DJM, 
, Rocket, 
, Phonogram,","Elton John, Bernie Taupin",Gus Dudgeon
Don't Matter,Akon,"January 19, 2007 (2007-01-19)","Reggae fusion, R&B",4:54,", Konvict, 
, UpFront, 
, SRC, 
, Universal,","Aliaune Thiam, Anthony Lawson, Bob Marley",Akon
Don't Stop 'Til You Get Enough,Michael Jackson,"July 10, 1979[1]","Disco, funk, [, 3, ]","7:41 (recording session)[4]
6:06 (album version)
5:53 (US single version)
4:13 (short version with rap)
3:58 (short version without rap)",Epic,Michael Jackson,"Quincy Jones, Michael Jackson"
Don't Wanna Lose You,Gloria Estefan,"June 21, 1989 (1989-06-21)",Pop,4:12,Epic,Gloria Estefan,"Emilio Estefan, Jr., Jorge Casas, Clay Ostwald"
"Don't Worry, Be Happy",Bobby McFerrin,"July 24, 1988","Reggae, [, 2, ], jazz, [, 1, ], pop, [, 3, ]",4:54 (album version)4:03 (music video)3:50 (radio edit),"EMI-Manhattan, [, 1, ]","Bobby McFerrin, [, 1, ]","Linda Goldstein, [, 1, ]"
Don't You Want Me,the Human League,27 November 1981,"Synth-pop, [, 1, ], [, 2, ], new pop, [, 3, ], new wave, [, 4, ]",3:57 (album version) 3:27 (video version),Virgin,"Jo Callis, Philip Oakey, Philip Adrian Wright",Martin Rushent
