Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers,Lyricist(s),Composer(s)
I Got You Babe,Sonny & Cher,"July 9, 1965","Folk rock
pop",3:11,Atco,Sonny Bono,Sonny Bono,,
See You Again,"Wiz Khalifa, Charlie Puth","March 10, 2015",Hip hoppop rap,3:50,Atlantic,Cameron ThomazCharlie PuthJustin FranksAndrew Cedar,Charlie PuthDJ Frank EAndrew Cedar,,
Paint the Town Red (Doja Cat song),Doja Cat,"August 4, 2023",Hip-hop,3:51,"Kemosabe
RCA",,"Earl on the Beat
Rubin
Jean-Baptiste
DJ Replay",Amala Zandile Dlamini,"Burt Bacharach
Hal David
Isaac Earl Bynum
Jean-Baptiste Kouame
Karl Rubin
Ryan Buendia"
Hey! Baby,Bruce Channel,December 1961,Pop,2:27,"LeCam, Smash, CBS",Margaret CobbBruce Channel,Bruce ChannelMajor Bill Smith,,
Where Did Our Love Go,the Supremes,"June 17, 1964","Pop-soul
pop
R&B",2:33,Motown,Holland–Dozier–Holland,Brian HollandLamont Dozier,,
Locked Out of Heaven,Bruno Mars,"October 1, 2012","Reggae rock
pop rock",3:53,Atlantic,"Bruno Mars
Philip Lawrence
Ari Levine","The Smeezingtons
Mark Ronson
Jeff Bhasker
Emile Haynie",,
Arthur's Theme (Best That You Can Do),Christopher Cross,"August 14, 1981",Popjazz pop,3:53,Warner Bros.,Christopher CrossBurt BacharachCarole Bayer SagerPeter Allen,Michael Omartian,,
Reach Out I'll Be There,Four Tops,"August 18, 1966",Soul,3:01,Motown,Holland–Dozier–Holland[2],"Brian Holland
Lamont Dozier[2]",,
What Goes Around... Comes Around,Justin Timberlake,"December 19, 2006","Psychedelic pop
sophisti-pop",7:29,JiveZomba,"Justin TimberlakeTim MosleyNate ""Danja"" Hills","TimbalandJustin TimberlakeNate ""Danja"" Hills",,
Rockin' Around the Christmas Tree,Brenda Lee,"November 24, 1958 ,December 1962","Rockabilly
Christmas",2:02,Decca 9-30776,Johnny Marks,Owen Bradley,,
Red Red Wine,Neil Diamond,1967,"Soft rock
folk rock",2:42,Bang,Neil Diamond,Jeff BarryEllie Greenwich,,
Eternal Flame (song),the Bangles,"January 23, 1989",Soft rock,3:56,"CBS
Liberation",,Davitt Sigerson,"Susanna Hoffs
Billy Steinberg",Tom Kelly
Trollz (song),"6ix9ine, Nicki Minaj","June 12, 2020",Hip hop,3:06,"Scumgang
Create
10K Projects","Daniel Hernandez
Onika Maraj
Jeremiah Raisen
Aaron Clarke","SadPony
Jahnei Clarke (co.)",,
Despacito,"Luis Fonsi, Daddy Yankee","January 13, 2017","Reggaeton
Latin pop",3:47,Universal Latin,"Luis Fonsi
Erika Ender
Daddy Yankee","Mauricio Rengifo
Andrés Torres",,
Try Again (Aaliyah song),Aaliyah,"March 21, 2000","R&B
electro
dance-pop
trip hop",4:45,"Blackground
Virgin","Timothy Mosley
Stephen Garrett",Timbaland,,
Anti-Hero (song),Taylor Swift,"October 21, 2022","Pop rock
synth-pop",3:20,Republic,"Taylor Swift
Jack Antonoff","Taylor Swift
Jack Antonoff",,
Let's Do It Again (song),The Staple Singers,"October 13, 1975",Soul,3:30,Curtom,Curtis Mayfield,Curtis Mayfield,,
Car Wash (song),Rose Royce,September 1976,"Disco
funk",3:18,MCA,Norman Whitfield,Norman Whitfield,,
Surrender (Elvis Presley song),Elvis Presley,"February 7, 1961",Rock and roll,1:52,RCA Victor,Doc PomusMort ShumanErnesto De Curtis,,,
Everybody Is a Star,Sly and the Family Stone,December 1969,Soul,3:00,Epic 5-10555,Sly Stone,Sly Stone,,
Walk Like an Egyptian,The Bangles,"September 1, 1986","Pop rock
new wave
novelty",3:24,"Columbia
Bangle-a-lang Music",Liam Sternberg,David Kahne,,
9 to 5 (Sheena Easton song),Sheena Easton,"16 May 1980 
February 1981",Pop,3:20,EMI RT Industries,Florrie Palmer,Christopher Neil,,
All Night Long (All Night),Lionel Richie,"August 31, 1983","Reggae
calypso
dance-pop",4:20,Motown,Lionel Richie,"Lionel Richie
James Anthony Carmichael",,
Wild Thing (The Troggs song),the Troggs,22 April 1966,"Garage rock
hard rock
proto-punk
psychedelia",2:30,"Fontana 
Atco & Fontana",Chip Taylor,Larry Page,,
With a Little Luck,Wings,20 March 1978,"Synth-pop, yacht rock",5:45,Parlophone Capitol,Paul McCartney,Paul McCartney,,
Never Gonna Give You Up,Rick Astley,27 July 1987,"Dance-pop
synth-pop
blue-eyed soul",3:35,"RCA
PWL
BMG",Stock Aitken Waterman,Stock Aitken Waterman,,
Summer in the City (song),the Lovin' Spoonful,"July 4, 1966","Pop
rock
hard rock
psychedelic rock",2:39,Kama Sutra,"John Sebastian, Mark Sebastian, Steve Boone",Erik Jacobsen,,
I Hear a Symphony,the Supremes,"October 6, 1965","Pop, R&B",2:38,Motown M 1083,Holland–Dozier–Holland,Brian HollandLamont Dozier,,
I Love Rock 'n' Roll,Arrows,July 1975,Hard rock,2:48,RAK,Alan MerrillJake Hooker,Mickie Most,,
Anything for You (Gloria Estefan and Miami Sound Machine song),"Gloria Estefan, Miami Sound Machine",March 1988,Pop,4:02,"Epic
CBS Discos International",Gloria M. Estefan,Emilio Estefan Jr.,,
Ticket to Ride (song),the Beatles,9 April 1965,"Power pop
jangle pop
folk rock",3:10,"Parlophone , Capitol",Lennon–McCartney,George Martin,,
Disturbia (song),Rihanna,"June 17, 2008","Dance-pop
electropop",3:59,"Def Jam
SRP","Brian Kennedy
Chris Brown
Robert Allen
Andre Merritt","Brian Kennedy
Makeba Riddick",,
Glory of Love,Peter Cetera,"June 4, 1986","Soft rock
pop rock",4:26,Warner Bros.,Peter CeteraDavid FosterDiane Nini,Michael Omartian,,
This Is Why I'm Hot,Mims,"December 12, 2006",Hip hop,4:13,"American King Music, Capitol Records",Shawn Mims,"Blackout Movement, Mike Moosh",,
Again (Janet Jackson song),Janet Jackson,"October 12, 1993",Pop,3:47,Virgin,"Janet Jackson
James Harris III
Terry Lewis","Jimmy Jam and Terry Lewis
Janet Jackson",,
Sledgehammer (Peter Gabriel song),Peter Gabriel,14 April 1986,"Dance-rock
funk rock
soul",5:12,"Charisma 
Geffen",Peter Gabriel,"Peter Gabriel
Daniel Lanois",,
What Do You Mean?,Justin Bieber,"August 28, 2015",Poptropical house,3:26,Def Jam,Justin BieberJason BoydMason Levy,MdLBieber [1],,
You Keep Me Hangin' On,the Supremes,"October 12, 1966","Rock
pop
psychedelic soul",2:40,Motown,Holland–Dozier–Holland,"Brian Holland
Lamont Dozier",,
Good 4 U,Olivia Rodrigo,"May 14, 2021","Rock
pop rock
pop-punk
teen pop
emo",2:58,"Geffen
Interscope","Olivia Rodrigo
Dan Nigro
Hayley Williams
Josh Farro",Dan Nigro,,
Kokomo (song),the Beach Boys,"July 8, 1988","Pop
soft rock",3:35,ElektraCapitol,John PhillipsScott McKenzieMike LoveTerry Melcher,Terry Melcher,,
When I'm with You (Sheriff song),Sheriff,"January 1983 
May 14, 1983 , November 16, 1988",Soft rock,3:58,Capitol,Arnold Lanni,Stacy Heydon,,
Runaway (Del Shannon song),Del Shannon,"February 18, 1961",Rock and Roll,2:20,BigTop,Del ShannonMax Crook,Harry Balk,,
Time in a Bottle,Jim Croce,November 1973,Psychedelic folk,2:29,ABC,Jim Croce,"Terry Cashman, Tommy West",,
Baby Baby (Amy Grant song),Amy Grant,"January 18, 1991","Pop
pop rock",3:57,A&M,"Keith Thomas, Amy Grant",Keith Thomas,,
4 Seasons of Loneliness,Boyz II Men,"September 8, 1997",,4:52,Motown,"James Harris III
Terry Lewis",Jimmy Jam and Terry Lewis,,
Karma Chameleon,Culture Club,5 September 1983,"Country
soul
new wave",4:12,Virgin,Boy GeorgeJon MossMikey CraigRoy HayPhil Pickett,Steve Levine,,
Can't Help Falling in Love,Elvis Presley,"November 21, 1961","Pop
easy listening",2:59,RCA Victor,Hugo PerettiLuigi CreatoreGeorge David Weiss[2],Elvis Presley (Joseph Lilley for Paramount Pictures)[3],,
Hit the Road Jack,Ray Charles,August 1961,R&B,2:00,ABC-Paramount,Percy Mayfield,Sid Feller,,
Like Crazy (song),Jimin,"March 24, 2023",Synth-pop,3:32,Big Hit,PdoggBlvshChris JamesGhstloopJiminRMEvan,PdoggGhstloop,,
Doo Wop (That Thing),Lauryn Hill,"August 10, 1998","Doo-wop
hip hop
R&B",5:20,"Ruffhouse
Columbia",Lauryn Hill,Lauryn Hill,,
The Flame (Cheap Trick song),Cheap Trick,"April 5, 1988",Soft rockhair metal,4:44,Epic,"Bob Mitchell
Nick Graham",Richie Zito,,
Satisfied (Richard Marx song),Richard Marx,April 1989,"Rock
pop rock",3:58,EMI USA,Richard Marx,"Richard Marx
David Cole",,
Get Back,"the Beatles, Billy Preston",11 April 1969,Rock and rollbluesrock,3:13,Apple,Lennon–McCartney,Glyn Johns and George Martin (single version)Phil Spector (album version),,
Release Me (Wilson Phillips song),Wilson Phillips,June 1990,"Pop
easy listening",4:56,SBK,Wilson Phillips,Glen Ballard,,
Don't Give Up on Us (song),David Soul,1976 January 1977,Soft rock,3:32,Private Stock[1],Tony Macaulay[1],Tony Macaulay[1],,
Rockstar (DaBaby song),"DaBaby, Roddy Ricch","April 17, 2020","Hip hop
trap",3:01,"Interscope
SCMG","Jonathan Kirk
Rodrick Moore Jr.
Ross Portaro IV",SethInTheKitchen,,
God's Plan (song),Drake,"January 19, 2018","Pop
pop-rap
trap",3:19,"Young Money
Cash Money
Republic","Aubrey Graham
Ronald LaTour
Banko Jackson
Matthew Samuels
Noah Shebib
Brock Korsan","Cardo
Yung Exclusive
Boi-1da
40 (addi.)",,
Tell Her About It,Billy Joel,"July 18, 1983",Soulpop rock,3:52,Columbia,Billy Joel,Phil Ramone,,
I'd Do Anything for Love (But I Won't Do That),"Meat Loaf, Lorraine Crosby","August 31, 1993",Wagnerian rock,5:13,"MCA
Virgin",Jim Steinman,Jim Steinman,,
The Scotts,,"April 24, 2020",,2:45,"Epic
Cactus Jack
Wicked Awesome","Jacques Webster II
Scott Mescudi
David Biral
Denzel Baptiste
Oladipo Omishore
Patrick Reynolds
Mike Dean","Take a Daytrip
Dot da Genius
Plain Pat",,
I'm Your Angel,"Celine Dion, R. Kelly",13 October 1998,R&Bpopsoulgospel,5:31,EpicJive,Robert Kelly,R. Kelly,,
...Baby One More Time,Britney Spears,"September 29, 1998",Teen popdance-pop,3:30,Jive,Max Martin,Max MartinRami Yacoub,,
You're Sixteen,Johnny Burnette,October 1960,Pop,1:56,"Liberty 
London","Robert B. Sherman
Richard M. Sherman",Snuff Garrett,,
Boom Boom Pow,Black Eyed Peas,"February 22, 2009","EDM
hip hop
electro",4:12,Interscope,"William Adams
Allan Pineda
Jaime Gomez
Stacy Ferguson",will.i.am,,
Seasons Change (song),Exposé,November 1987,"Synth-pop
R&B
freestyle",3:58,Arista,Lewis Martineé,Lewis Martineé,,
Work (Rihanna song),"Rihanna, Drake","January 27, 2016",Dancehallreggae-popR&B,3:39,Roc NationWestbury Road,Jahron BrathwaiteMatthew SamuelsAllen RitterRupert Thomas Jr.Aubrey GrahamRobyn FentyMonte Moir,Boi-1da,,
I Swear,John Michael Montgomery,"November 19, 1993",Country,4:22,Atlantic Nashville,"Gary Baker
Frank J. Myers",Scott Hendricks,,
Grenade (song),Bruno Mars,October 2010,"Pop
power pop",3:42,Elektra,"Bruno Mars
Philip Lawrence
Ari Levine
Brody Brown
Claude Kelly
Andrew Wyatt",The Smeezingtons,,
Poor Side of Town,Johnny Rivers,August 1966,"Baroque pop
orchestral pop",3:03,Imperial,"Johnny Rivers
Lou Adler",Lou Adler,,
Coming Up (song),Paul McCartney,11 April 1980,"Funk rock
new wave
disco",3:49,Parlophone Columbia,Paul McCartney,Paul McCartney,,
Don't Go Breaking My Heart,"Elton John, Kiki Dee",25 June 1976,"Pop
disco",4:31,Rocket MCA,"Elton John
Bernie Taupin[a]",Gus Dudgeon,,
Kiss Kiss (Chris Brown song),"Chris Brown, T-Pain","September 10, 2007",Hip hopR&Bpop-rap,4:10,JiveZomba,Chris BrownFaheem Najm,T-Pain,,
This Diamond Ring,Gary Lewis & the Playboys,January 1965,Pop rock,2:15,Liberty,"Al Kooper, Bob Brass, Irwin Levine",Snuff Garrett,,
Saving All My Love for You,Whitney Houston,"August 13, 1985","R&B
soul
quiet storm",3:58,Arista,"Michael Masser
Gerry Goffin",Michael Masser,,
Take On Me,a-ha,19 October 1984,"Synth-pop
new wave",3:44,Warner Bros.,"Magne Furuholmen
Morten Harket
Pål Waaktaar","John Ratcliff
Alan Tarney",,
Love Bites (Def Leppard song),Def Leppard,4 July 1988,Glam metal,5:46,Mercury,"Robert John ""Mutt"" Lange
Phil Collen
Steve Clark
Joe Elliott
Rick Savage","Robert John ""Mutt"" Lange",,
Everything You Want (Vertical Horizon song),Vertical Horizon,"October 19, 1999","Pop rock
soft rock
alternative rock",4:17,"RCA
BMG",Matthew Scannell,"Mark Endert
Ben Grosse",,
Incomplete (Sisqó song),Sisqó,"June 13, 2000",,4:35,Def Soul,"Montell JordanAnthony ""Shep"" Crawford","Anthony ""Shep"" Crawford",,
Jump (Kris Kross song),Kris Kross,"February 6, 1992",Hip hop,3:17,"Ruffhouse
Columbia","Jermaine Dupri
Joe ""The Butcher"" Nicolo
Alphonso Mizell
Berry Gordy
Deke Richards
Freddie Perren
Marshall ""Rock"" Jones
Leroy ""Sugarfoot"" Bonner
Ralph ""Pee Wee"" Middlebrooks
Gregory ""Greg"" Webster
Clarence ""Satch"" Satchell
Bruce Napier
Walter ""Junie"" Morrison
Marvin ""Merv"" Pierce
Roy C. Hammond
Louis Freese
Lawrence Muggerud
Senen Reyes
Lowell Fulson
Jimmy McCracklin
James Brown
J.B. Weaver Jr.
Anthony Criss
Kier Gist
Vincent Brown
Herb Rooney","Jermaine Dupri
Joe ""The Butcher"" Nicolo",,
Jack & Diane,John Mellencamp,"July 24, 1982",Heartland rockhard rock,4:16,Riva,John Mellencamp,"John Mellencamp, Don Gehman[1]",,
Roses Are Red (My Love),Bobby Vinton,"April 6, 1962",Traditional pop,2:38,Epic,"Paul Evans, Al Byron",Robert Morgan,,
The First Time Ever I Saw Your Face,Roberta Flack,"March 7, 1972","Soul
vocal jazz",4:20,Atlantic 2864,Ewan MacColl,Joel Dorn,,
Light My Fire,the Doors,"January 4, 1967  
April 24, 1967","Psychedelic rock
baroque pop
acid rock
jazz fusion",2:52,Elektra,"Jim Morrison
Robby Krieger
John Densmore
Ray Manzarek",Paul A. Rothchild,,
I Will Survive,Gloria Gaynor,"October 23, 1978",Discopopsoul,3:15,Polydor,Freddie PerrenDino Fekaris,Freddie PerrenDino Fekaris,,
Suspicious Minds,Mark James,1968,Rock,2:47,Scepter,Mark James,Chips Moman,,
I Knew I Loved You,Savage Garden,28 September 1999,,4:10,RoadshowColumbia,Daniel JonesDarren Hayes,Daniel JonesDarren HayesWalter Afanasieff,,
In the Year 2525,Zager and Evans,1969 April 1969,"Psychedelic rock
folk rock",3:10,Truth; RCA Victor,Rick Evans,Zager and Evans,,
I've Been Thinking About You,Londonbeat,"September 24, 1990","Dance-pop
Eurodance",5:17,"Radioactive
Anxious","Jimmy Chambers
George Chandler
Jimmy Helms
William Henshall",Martyn Phillips[1],,
Drivers License (song),Olivia Rodrigo,"January 8, 2021","Bedroom pop
alt-pop
power pop",4:02,"Geffen
Interscope","Olivia Rodrigo
Dan Nigro",Dan Nigro,,
I Heard It Through the Grapevine,Gladys Knight & the Pips,"September 28, 1967","R&B
Southern soul",2:52,Soul,Norman WhitfieldBarrett Strong,Norman Whitfield,,
Inside Your Heaven,Carrie Underwood,"June 14, 2005","Country
country pop",3:45,"Arista
19
S","Andreas Carlsson
Pelle Nylén
Savan Kotecha",Desmond Child,,
Savage Love (Laxed – Siren Beat),"Jawsh 685, Jason Derulo",24 April 2020,"Siren jam
dancehall
reggaeton",2:51,Columbia,"Joshua Nanai
Jason Desrouleaux
Jacob Kasher Hindlin
Phil Greiss",Jawsh 685,,
Always on Time,"Ja Rule, Ashanti","November 27, 2001",,4:05,"Def Jam
Murder Inc.","Jeffrey Atkins
7 Aurelius
Irving Lorenzo",Irv Gotti,,
The Most Beautiful Girl,Charlie Rich,29 August 1973,"Country
country pop
blue-eyed soul",2:43,Epic,Rory BourkeBilly SherrillNorro Wilson,Billy Sherrill,,
If You Had My Love,Jennifer Lopez,"May 4, 1999","Pop
R&B",4:26,Work,"Rodney Jerkins
LaShawn Daniels
Cory Rooney
Jennifer Lopez
Fred Jerkins III",Rodney Jerkins,,
Will It Go Round in Circles,Billy Preston,March 1973,"Funk, soul",3:42,A&M,"Billy Preston, Bruce Fisher",Billy Preston,,
Escapade (song),Janet Jackson,"January 8, 1990","Dance-pop
new jack swing",4:44,A&M,"Janet Jackson
James Harris III
Terry Lewis","Jimmy Jam and Terry Lewis
Janet Jackson",,
Maneater (Hall & Oates song),Hall & Oates,"September 28, 1982","Synth-pop
new wave
R&B
blue-eyed soul
soft rock",313:28,RCA,"Sara Allen
Daryl Hall
John Oates","Daryl Hall
John Oates",,
"Bills, Bills, Bills",Destiny's Child,"May 31, 1999",R&B,4:15,Columbia,"Kevin Briggs
Kandi Burruss
Beyoncé Knowles
LeToya Luckett
Kelly Rowland","Kevin ""She'kspere"" Briggs",,
Duke of Earl,Gene Chandler,November 1961,"R&B, doo-wop",2:27,Vee-Jay,"Gene Chandler, Earl Edwards, Bernice Williams",Bill Sheppard,,
I Love a Rainy Night,Eddie Rabbitt,"November 10, 1980","Country
rockabilly",3:08,Elektra,"David Malloy
Eddie Rabbitt
Even Stevens",David Malloy,,
Calcutta (song),Lawrence Welk,December 1960,Easy listening,2:13,Dot,Heino Gaze,Artie Ripp,,
Ringo (song),Lorne Greene,October 1964,Country,3:14,RCA Victor,Don RobertsonHal Blair,,,
Hello (Adele song),Adele,23 October 2015,Soul,4:56,XLColumbia,Adele AdkinsGreg Kurstin,Greg Kurstin,,
American Pie (song),Don McLean,"October 1971 
November 1991",Folk rock,8:42,United Artists,Don McLean,Ed Freeman,,
Still (Commodores song),Commodores,"September 14, 1979","Pop
soul
easy listening",503:45,Motown,Lionel Richie,"James Anthony Carmichael, Commodores",,
Tragedy (Bee Gees song),Bee Gees,February 1979,"Dance-rock
disco",5:03,RSO,"Barry, Robin & Maurice Gibb","Bee Gees
Albhy Galuten
Karl Richardson",,
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,"April 28, 1987","Pop
dance-pop
R&B",4:51,Arista,"George Merrill
Shannon Rubicam",Narada Michael Walden,,
Tossin' and Turnin',Bobby Lewis,"April 30, 1961",R&B,2:29,Beltone,"Ritchie Adams, Malou René",Joe René,,
Toy Soldiers (song),Martika,"April 26, 1989",Pop rock,4:23,Columbia,"Martika
Michael Jay",Michael Jay,,
Give It to Me (Timbaland song),"Timbaland, Nelly Furtado, Justin Timberlake","February 6, 2007","Electro
hip hop
club",3:55,"Mosley
Blackground
Interscope","Timothy Mosley
Nate Hills
Timothy Clayton
Justin Timberlake
Nelly Furtado",Timbaland,,
Southern Nights (song),Allen Toussaint,May 1975,New Orleans R&B,3:35,Reprise,Allen Toussaint,"Allen Touissaint, Marshall Sehorn",,
Rock with You,Michael Jackson,October 1979,"Disco
funk
pop",3:38,Epic,Rod Temperton,Quincy Jones,,
Don't Forget About Us,Mariah Carey,"October 10, 2005",R&Bhip hop soul,3:53,Island,Mariah CareyJermaine DupriJohntá AustinBryan-Michael Cox,Mariah CareyJermaine DupriBryan-Michael Cox,,
We Don't Talk About Bruno,"Carolina Gaitán, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto","November 19, 2021","Salsa
Latin pop",3:36,Walt Disney,Lin-Manuel Miranda,"Lin-Manuel Miranda
Mike Elizondo",,
Blaze of Glory (Jon Bon Jovi song),Jon Bon Jovi,"July 21, 1990","Hard rock
country rock",4:24,Vertigo,Jon Bon Jovi,"Danny Kortchmar
Jon Bon Jovi",,
Always Be My Baby,Mariah Carey,"February 20, 1996","Pop
R&B",4:18,Columbia,,"Mariah Carey
Jermaine Dupri",Mariah Carey,"Jermaine Dupri
Mariah Carey
Manuel Seal"
Alley Oop (song),the Hollywood Argyles,May 1960,"Rock and roll, doo-wop, novelty",2:36,Lute 5905,Dallas Frazier,Gary S. PaxtonKim Fowley,,
50 Ways to Leave Your Lover,Paul Simon,December 1975,,3:35,Columbia[1],Paul Simon,"Paul Simon
Phil Ramone",,
Mo Money Mo Problems,"The Notorious B.I.G., Puff Daddy, Mase","July 15, 1997",Hip hop,4:17,Bad BoyArista,Christopher WallaceMason BethaNile RodgersBernard Edwards,"Stevie J
Sean ""Puffy"" Combs",,
One More Night (Phil Collins song),Phil Collins,"24 January 1985 
1 April 1985",Soft rock,4:22,"Atlantic
Virgin",Phil Collins,"Phil Collins
Hugh Padgham",,
Good Vibrations,the Beach Boys,"October 10, 1966",Progressive poppsychedelic rockart popacid rockpsychedelic popavant-popR&Bsunshine pop,3:35,Capitol,"Brian Wilson
Mike Love",Brian Wilson,,
My Girl (The Temptations song),the Temptations,"December 21, 1964","Soul
R&B
pop",2:45,Gordy,"Smokey Robinson
Ronald White","Robinson
White",,
Black Velvet (song),Alannah Myles,July 1989 December 1989,"Country rock
blues rock",4:02,Atlantic,David TysonChristopher Ward,David Tyson,,
Theme from S.W.A.T.,Rhythm Heritage,November 1975,"Disco
funk",3:21,ABC,Barry De Vorzon,"Michael Omartian, Steve Barri",,
Didn't We Almost Have It All,Whitney Houston,July 1987,Orchestral popR&Bsoul,4:38,Arista,Michael MasserWill Jennings,Michael Masser,,
Let It Flow (song),Toni Braxton,"May 21, 1996",R&B,4:21,LaFace,Babyface,Babyface,,
Miss You Much,Janet Jackson,"August 21, 1989",Dance-popnew jack swing,4:12,A&M,James Harris IIITerry Lewis,Jimmy Jam and Terry LewisJanet Jackson,,
Blue Moon (1934 song),,,,,,,,Lorenz Hart,Richard Rodgers
Isn't It a Pity,George Harrison,23 November 1970,Folk rock,7:10,Apple,George Harrison,"George Harrison, Phil Spector",,
Don't Leave Me This Way,Harold Melvin & the Blue Notes,"November 1975 
November 1976","Rhythm and blues
soul
disco",6:08,Philadelphia International,"Kenneth Gamble
Leon Huff
Cary Gilbert","Kenneth Gamble
Leon Huff",,
The First Time (Surface song),Surface,"October 1990
 October 11, 1990

 December 6, 1990","R&B
quiet storm",4:16,Columbia,Brian SimpsonBernard Jackson,Surface,,
A Fifth of Beethoven,Walter Murphy,1976,"Disco
funk
novelty",3:02,Private Stock,"Ludwig van Beethoven
Walter Murphy",Thomas J. Valentino,,
Da Doo Ron Ron,the Crystals,April 1963,"R&B, pop, rock and roll",2:18,Philles,Phil SpectorJeff BarryEllie Greenwich,Phil Spector,,
Eight Days a Week,the Beatles,"4 December 1964  
15 February 1965",Pop rock,2:44,Capitol,Lennon–McCartney,George Martin,,
I'll Be Your Everything (Tommy Page song),Tommy Page,"February 19, 1990",Popteen pop,4:10,Sire,Jordan KnightDanny WoodTommy Page,Jordan KnightDonnie WahlbergMichael Jonzun,,
Man in the Mirror,Michael Jackson,January 1988,"Pop
gospel",5:19,Epic,"Siedah Garrett
Glen Ballard","Quincy Jones
Michael Jackson (co.)",,
A World Without Love,Peter and Gordon,28 February 1964,Pop,2:41,"Columbia, Capitol",Lennon–McCartney,Norman Newell,,
Running Bear,Johnny Preston,August 1959,"Rockabilly
rock and roll",2:38,Mercury[4],J. P. Richardson[4],Bill Hall[4],,
(I Can't Get No) Satisfaction,the Rolling Stones,"4 June 1965 
20 August 1965",Rock,3:45,"London 
Decca",Jagger–Richards,Andrew Loog Oldham,,
Come Softly to Me,The Fleetwoods,"February 16, 1959 April, 1959",Pop,2:25,"Dolphin Records, Liberty Records","Gretchen Christopher, Barbara Ellis and Gary Troxel",Bob Reisdorff,,
ABC (The Jackson 5 song),The Jackson 5,"February 24, 1970",Bubblegum-soul,3:11,MotownM 1163,"The Corporation (Berry Gordy, Freddie Perren, Alphonzo Mizell and Deke Richards)[3]",The Corporation,,
You're in Love (Wilson Phillips song),Wilson Phillips,"January 30, 1991","Pop
soft rock",3:59,SBK,"Glen Ballard, Wilson Phillips",Glen Ballard,,
Mickey (Toni Basil song),Toni Basil,"January 3, 1982",New wavebubblegum popglam rock,3:36,"Chrysalis 
Radialchoice, Virgin",Mike ChapmanNicky Chinn,Greg Mathieson[5]Trevor Veitch[5],,
Love Somebody (Morgan Wallen song),Morgan Wallen,"October 18, 2024","Country
soft rock",3:24,"Big Loud
Republic
Mercury","Morgan Wallen
John Byron
Jacob Kasher Hindlin
Ryan Vojtesak
Ashley Gorley
Elof Loelv
Martina Sorbara
Nicholas Gale
Shaun Frank
Steve Francis Richard Mastroianni
Yaakov Gruzman","Joey Moi
Charlie Handsome",,
We Found Love,"Rihanna, Calvin Harris","September 22, 2011",Electro housepop,3:35,Def JamSRP,Calvin Harris,Calvin Harris,,
Down Under (song),Men at Work,2 November 1981,"New wave
pop rock
pub rock
reggae",3:42,Columbia,,Peter McIan,Colin Hay,"Colin Hay
Ron Strykert"
I Write the Songs,Captain & Tennille,"May 23, 1975","Pop, adult contemporary",,A&M,Bruce Johnston,Daryl Dragon,,
Temperature (song),Sean Paul,5 December 2005,Dancehall,3:36,"Atlantic
VP","Sean Paul Henriques
Adrian ""IZES"" Marshall
Rohan Fuller","Rohan ""Snowcone"" Fuller",,
Love Me Do,the Beatles,"5 October 1962  
27 April 1964","Merseybeat
pop
R&B
rock and roll",2:22,"Parlophone 
Tollie",Lennon–McCartney,George Martin,,
It's Only Make Believe,Conway Twitty,"July 14, 1958","Rock and roll
rockabilly",2:10,MGM,"Jack Nance, Conway Twitty",Jim Vienneau,,
Straight Up (Paula Abdul song),Paula Abdul,"November 22, 1988","Dance-pop
new jack swing
funk",4:11,Virgin,Elliot Wolff,Elliot Wolff,,
Dynamite (BTS song),BTS,"August 21, 2020","Disco
pop",3:19,"Big Hit
Columbia
Sony Music","David Stewart
Jessica Agombar",David Stewart,,
"Too Much, Too Little, Too Late","Johnny Mathis, Deniece Williams","February 21, 1978",Soul,3:00,Columbia,"John Vallins, Nat Kipner",Jack Gold,,
Peaches (Justin Bieber song),"Justin Bieber, Daniel Caesar, Giveon","March 19, 2021","Pop
R&B
pop soul",3:18,Def Jam,"Justin Bieber
Ashton Simmonds
Giveon Evans
Bernard Harvey
Luis Martinez, Jr.
Andrew Wotman
Louis Bell
Matthew Sean Leon
Felisha King-Harvey
Aaron Simmonds
Keavan Yazdani","Harv
Shndo",,
Candle in the Wind 1997,Elton John,13 September 1997,Pop rock,3:59,"Rocket
A&M","Elton John
Bernie Taupin",George Martin,,
I Remember Everything,"Zach Bryan, Kacey Musgraves","September 8, 2023",Country,3:47,"Belting Bronco
Warner","Zach Bryan
Kacey Musgraves",Zach Bryan,,
Someone You Loved,Lewis Capaldi,8 November 2018,"Pop, adult contemporary",3:02,Vertigo,"Lewis Capaldi
Samuel Romans
Thomas Barnes
Peter Kelleher
Benjamin Kohn",TMS,,
Love Rollercoaster,Ohio Players,"November 9, 1975",Funkdisco,2:52,Mercury,James WilliamsClarence SatchellLeroy BonnerMarshall JonesRalph MiddlebrooksMarvin PierceWilliam Beck,Ohio Players,,
It Must Have Been Love,Roxette,2 December 1987,Soft rockpop,4:48,EMI,Per Gessle,Clarence Öfwerman,,
Blue Velvet (song),Tony Bennett,"September 21, 1951",Traditional pop,3:01,Columbia,"Bernie Wayne
Lee Morris",,,
Rolling in the Deep,Adele,29 November 2010,Rhythm and bluessoul,3:48,XLColumbia,Adele AdkinsPaul Epworth,Paul Epworth,,
Dizzy (Tommy Roe song),Tommy Roe,"November 13, 1968",Bubblegum pop,2:52,ABC,"Tommy Roe
Freddy Weller",Steve Barri,,
