Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers
Candy Shop,,"February 8, 2005",East Coast hip hop,3:29,", Interscope, 
, Aftermath, 
, Shady, 
, G-Unit,","Curtis Jackson, Scott Storch",Scott Storch
(Can't Live Without Your) Love and Affection,,"May 19, 1990",Glam metal,3:55,Geffen,"Matthew Nelson, Gunnar Nelson, Marc Tanner","Marc Tanner, David Thoener"
Car Wash (song),,September 1976,"Disco, funk","5:06 (album version)
3:18 (single version)",MCA,Norman Whitfield,Norman Whitfield
Cardigan (song),,"July 27, 2020 (2020-07-27)","Folk, indie rock, soft rock",4:00,Republic,"Taylor Swift, Aaron Dessner",Aaron Dessner
Careless Whisper,,20 July 1984,"Pop, soul, R&B, quiet storm","6:30 (album version)
5:04 (7″ and video version)",", Epic, 
, Columbia, 
, Sony,","George Michael, Andrew Ridgeley","George Michael, Jerry Wexler, (original)"
Caribbean Queen (No More Love on the Run),,1984,"Post-disco, funk, -, pop",7:52 (album version)4:06 (edit)3:42 (single version)8:14 (extended mix),Jive,"Billy Ocean, Keith Diamond",Keith Diamond
Carnival (¥$ song),,"February 15, 2024",Hip Hop,4:24,YZY,"Ye, Tyrone Griffin, Jr., Dimitri Roger, Jordan Carter, Mark Williams, Grant Dickinson, Raul Cubina, The Legendary Traxster","Ye, Ty Dolla Sign, Ojivolta, TheLabCook, The Legendary Traxster"
Cat's in the Cradle,,1974,"Folk rock, soft rock","3:29 (single version)
3:45 (album version)",Elektra,"Harry Chapin, Sandra Chapin",Paul Leka
Cathy's Clown,,April 1960,Pop,2:22,Warner Bros.,Don Everly,Wesley Rose
Celebration (Kool & the Gang song),,October 1980,"Post-disco, funk",3:42 (7-inch version)4:17 (video version)5:00 (12-inch / album version),De-Lite,"Ronald Nathan Bell, Claydes Charles Smith, George Melvin Brown, James ""J.T."" Taylor, Robert Spike Mickens, Earl Eugene Toon Jr., Dennis Ronald Thomas, Robert Earl Bell, Eumir Deodato","Eumir Deodato, Kool & the Gang"
Centerfold (song),,"September 13, 1981","Power pop, pop rock, synth-rock","3:365:01 (12"")",EMI America,Seth Justman,Seth Justman
Chapel of Love,,April 1964,Pop,2:45,Red Bird,"Jeff Barry, Ellie Greenwich, and, Phil Spector","Jerry Leiber, Mike Stoller, Ellie Greenwich and Jeff Barry"
Chariots of Fire (instrumental),,April 1981 (UK)December 1981 (US),"Orchestral pop, film score, symphonic",3:32,Polydor,Vangelis,Vangelis
Cheap Thrills (song),,17 December 2015 (original)  11 February 2016 (remix),"Dancehall, pop",3:44,", Inertia, 
, Monkey Puzzle, 
, RCA,","Sia Furler, Greg Kurstin, Sean Paul Henriques, (remix)",Greg Kurstin
Check on It,,"October 11, 2005 (2005-10-11)","R&B, hip hop",3:30,"Columbia, Music World","Beyoncé Knowles, Kasseem Dean, Bernard Freeman, Sean Garrett, Angela Beyincé, Stayve Thomas",Swizz Beatz
Cheerleader (Omi song),,"2012 (original)
2014 (Felix Jaehn remix)","Reggae fusion, (original version), deep house, (, Felix Jaehn, remix)","2:54 (original)
3:00 (Felix Jaehn remix)",", Oufah, 
, Ultra, 
, Columbia,","Omar Samuel Pasley, Clifton Dillon, Mark Bradford, Darren Moran, Ryan Dillon, Sly Dunbar","OMI, Clifton Dillon, Felix Jaehn"
Cherish (The Association song),,August 1966,"Pop, soft rock","3:25 (album)
3:13 (single)",Valiant,Terry Kirkman,Curt Boettcher
The Chipmunk Song (Christmas Don't Be Late),,"November 17, 1958 source (Billboard 100 Edition Nov 17th 1958. Earliest Mention)","Christmas, pop, novelty","2:21
2:15 (rock version)","Liberty,  , F-55168, Liberty , F-55250",Ross Bagdasarian,Ross Bagdasarian
Circles (Post Malone song),,"August 30, 2019 (2019-08-30)",Soft rock,3:35,Republic,"Austin Post, Louis Bell, Adam Feeney, Kaan Gunesberk, Billy Walsh","Post Malone, Louis Bell, Frank Dukes"
Close to You (Maxi Priest song),,1990,"Pop, dance-pop, R&B, soul, reggae fusion, new jack swing",3:37 (radio mix)5:25 (album version),Charisma,"Maxi Priest, Gary Benson, Winston Sela","Handel Tucker, Geoffrey Chung, Lowell ""Sly"" Dunbar"
Closer (The Chainsmokers song),,"July 29, 2016 (2016-07-29)","Future bass, electropop",4:04,"Disruptor, Columbia","Andrew Taggart, Ashley Frangipane, Shaun Frank, Frederic Kennett, Isaac Slade, Joe King",The Chainsmokers
Cold Hearted (Paula Abdul song),,"June 2, 1989 (1989-06-02)","New jack swing, dance-pop",3:51,Virgin,Elliot Wolff,Elliot Wolff
Come On Eileen,,"June 25, 1982 (UK)January 1983 (US)","New wave, Celtic folk, blue-eyed soul, pop, pop rock",4:12 (single version)4:07 (without fiddle intro)4:47 (with a cappella coda)3:48 (video version)3:28 (special DJ edit),Mercury,"Kevin Rowland, Jim Paterson, Billy Adams","Clive Langer, Alan Winstanley"
Come On Over Baby (All I Want Is You),,"July 11, 2000 (2000-07-11)","Bubblegum pop, dance-pop",3:09,RCA,"Johan Åberg, Paul Rein, Christina Aguilera, Ron Fair, Chaka Blackmon, Raymond Cham, Eric Dawkins, Shelly Peiken, Guy Roche","Ron Fair, Celebrity Status"
Come See About Me,,"October 27, 1964","Pop, R&B",2:39,Motown,Holland–Dozier–Holland,"Brian Holland, Lamont Dozier"
Come Softly to Me,,"February 16, 1959 (Dolphin)April, 1959 (Liberty)",Pop,2:25,"Dolphin Records, , , Liberty Records","Gretchen Christopher, Barbara Ellis and Gary Troxel",Bob Reisdorff
Come Together,,6 October 1969 (1969-10-06),"Blues rock, swamp rock, rock and roll",4:19,Apple,Lennon–McCartney,George Martin
Coming Out of the Dark,,"January 10, 1991 (1991-01-10)","Dance-pop, gospel, soul",4:02,Epic,"Gloria Estefan, Emilio Estefan Jr., Jon Secada","Emilio Estefan Jr., Jorge Casas, Clay Ostwald"
Coming Up (song),,11 April 1980 (1980-04-11),"Funk rock, new wave, disco","3:49 (album/single edit)5:35 (full length version)4:10 (""Live at Glasgow"" version)","Parlophone,  , Columbia,",Paul McCartney,Paul McCartney
Confessions Part II,,"June 1, 2004",R&B,3:49,Arista,"Usher Raymond, Jermaine Dupri, Bryan-Michael Cox","Jermaine Dupri, Bryan-Michael Cox"
Convoy (song),,November 1975,"Country, truck-driving country",3:49,MGM,"Bill Fries, Chip Davis","Don Sears, Chip Davis"
Could've Been (Tiffany song),,"November 20, 1987",Pop,3:32,MCA Records,Lois Blaisch,George Tobin
Crack a Bottle,,"February 2, 2009",Hip hop,4:57 (album version)5:15 (single version),"Aftermath, Shady, Interscope","Marshall Mathers, Andre Young, Curtis Jackson, Mark Batson, Dawaun Parker, Trevor Lawrence, Jr., Jean Renard",Dr. Dre
Cracklin' Rosie,,"July 30, 1970","Soft rock, pop",2:54,Uni,Neil Diamond,Tom Catalano
Crank That (Soulja Boy),,"May 2, 2007 (2007-05-02)","Pop-rap, snap",3:42,"Collipark, Interscope, HHH","DeAndre Way, [, 4, ]",Soulja Boy
Crazy for You (Madonna song),,"March 2, 1985",Pop,4:08,", Geffen, 
, CBS,","John Bettis, Jon Lind","John ""Jellybean"" Benitez"
Crazy in Love,,"May 18, 2003 (2003-05-18)","Pop, hip hop, R&B",3:56,Columbia,"Beyoncé Knowles, Rich Harrison, Eugene Record, Shawn Carter","Beyoncé Knowles, Rich Harrison"
Crazy Little Thing Called Love,,"12 October 1979 (UK)
7 December 1979 (US)","Rock and roll, rockabilly",2:42,", EMI,  , 
, Elektra,  ,",Freddie Mercury,"Queen, Reinhold Mack"
Cream (Prince song),,"September 9, 1991 (1991-09-09)","Pop, funk, glam rock, R&B",4:12,", Paisley Park, 
, Warner Bros.,",Prince,Prince
Creep (TLC song),,"October 13, 1994",R&B,4:29,", LaFace, 
, Arista,",Dallas Austin,Dallas Austin
Crimson and Clover,,November 1968 (1968-11),"Psychedelic pop, psychedelic rock, bubblegum pop",5:32 (album version)3:23 (single version),"Roulette, , R-7028","Tommy James, Peter Lucia",Tommy James
Crocodile Rock,,27 October 1972 (UK)20 November 1972 (US),"Rock and roll, glam rock, pop rock","3:56 (album version, US 45 version)3:23 (single version)","DJM,  , MCA,","Elton John, Bernie Taupin",Gus Dudgeon
Tha Crossroads,,"April 23, 1996 (1996-04-23)",Hip hop,3:44,Ruthless,"Bone, Tim Middleton, Tony-C",Tim Middleton
Cruel Summer (Taylor Swift song),,"June 13, 2023 (2023-06-13)","Synth-pop, electropop, industrial pop",2:58,Republic,"Taylor Swift, Jack Antonoff, Annie Clark","Taylor Swift, Jack Antonoff"
Da Doo Ron Ron,,April 1963,"R&B, pop, rock and roll",2:18,Philles,"Phil Spector, Jeff Barry, Ellie Greenwich",Phil Spector
Da Ya Think I'm Sexy?,,10 November 1978 (UK),Disco,5:31 (album version)6:29 (12-inch version),Warner Bros.,"Rod Stewart, Carmine Appice, Duane Hitchings",Tom Dowd
Dancing Queen,,16 August 1976 (Sweden),"Disco, Europop",3:50,", Polar, 
, Epic, 
, Atlantic,","Benny Andersson, Björn Ulvaeus, Stig Anderson","Benny Andersson, Björn Ulvaeus"
Babe (Styx song),,"September 14, 1979",Soft rock,4:01 (single version)4:25 (album version),A&M,Dennis DeYoung,"Dennis DeYoung, John Panozzo, Chuck Panozzo"
Baby Baby (Amy Grant song),,"January 18, 1991 (1991-01-18)","Pop, pop rock",3:57,A&M,"Keith Thomas, Amy Grant",Keith Thomas
Baby Boy (Beyoncé song),,"August 3, 2003 (2003-08-03)","Dancehall, R&B",4:04,", Columbia, 
, Music World,",,"Beyoncé, Scott Storch"
Baby Come Back (Player song),,"October 13, 1977 (1977-10-13)","Soft rock, blue-eyed soul","3:28 (single version)
4:15 (album version)",", RSO,  , 
, Philips,  ,","Peter Beckett, J.C. Crowley","Dennis Lambert, Brian Potter"
Baby Don't Forget My Number,,December 1988,Dance-pop,"4:10 (album version)
4:00 (single version)
4:28 (video version)",", Hansa, 
, Arista,","Frank Farian, Brad Howell",Frank Farian
Baby Don't Get Hooked on Me,,July 1972 (US),Country pop,3:06,Columbia,Mac Davis,Rick Hall
Baby Got Back,,"May 7, 1992 (1992-05-07)",Miami bass,4:21,"Def American, Reprise",Sir Mix-a-Lot,"Rick Rubin, [, a, ], Sir Mix-a-Lot"
Baby Love,,"September 17, 1964","Pop, rhythm and blues",2:34,Motown,"Holland–Dozier–Holland, [, 1, ]","Brian Holland, Lamont Dozier"
...Baby One More Time,,"September 29, 1998 (1998-09-29)","Teen pop, dance-pop",3:30,Jive,Max Martin,"Max Martin, Rami Yacoub"
"Baby, Come to Me (Patti Austin and James Ingram song)",,April 1982October 1982 (re-released),"Quiet storm, R&B, soft rock","3:31 (7"" single)  3:45 (LP version)",Qwest,Rod Temperton,Quincy Jones
"Baby, I Love Your Way/Freebird Medley",,August 1988,Freestyle,4:07,Epic,"Peter Frampton, Allen Collins, Ronnie Van Zant",Bob Rosenberg
Back in My Arms Again,,"April 15, 1965","Pop, rhythm and blues",2:52,Motown,Holland–Dozier–Holland,"Brian Holland, Lamont Dozier"
Bad (Michael Jackson song),,"September 7, 1987","Dance-pop, funk","4:07 (album version)
8:22 (extended dance mix)",Epic,Michael Jackson,"Quincy Jones, Michael Jackson (, co., )"
Bad and Boujee,,"October 28, 2016","Hip hop, trap","5:34 (single and video version)
5:43 (album version)
3:27 (radio edit)",", Quality Control, 
, 300, 
, Atlantic,","Quavious Keyate Marshall, Kiari Kendrell Cephus, Robert Mandell, Symere Bysil Woods, Leland Tyler Wayne","Metro Boomin, G Koop"
Bad Blood (Neil Sedaka song),,September 1975,Rock,3:09,"Rocket, /, MCA,  , Polydor,","Neil Sedaka, Phil Cody",Neil Sedaka
Bad Blood (Taylor Swift song),,"May 17, 2015",Pop,3:313:19 (remix),Big Machine,"Taylor Swift, Max Martin, Shellback, Kendrick Lamar, [, a, ]","Max Martin, Shellback, Ilya, [, a, ]"
Bad Day (Daniel Powter song),,"January 9, 2005 (2005-01-09)[a]","Pop, pop rock",3:55,Warner Bros.,Daniel Powter,"Mitchell Froom, Jeff Dawson"
Bad Girls (Donna Summer song),,"June 23, 1979 (1979-06-23)","Disco, rock, funk",4:55,Casablanca,"Donna Summer, Bruce Sudano, Joe ""Bean"" Esposito, Edward ""Eddie"" Hokenson","Giorgio Moroder, Pete Bellotte"
Bad Guy (Billie Eilish song),,"March 29, 2019 (2019-03-29)","Electropop, dance-pop, trap-pop",3:14,"Darkroom, Interscope","Billie Eilish, Finneas O'Connell",Finneas O'Connell
Bad Habit (Steve Lacy song),,"June 29, 2022 (2022-06-29)","R&B, bedroom pop, funk",3:52 (album version)2:45 (radio version),RCA,"Steve Lacy, Diana Gordon, John Kirby, Britanny Fousheé, Matthew Castellanos",Steve Lacy
Bad Medicine (song),,"September 12, 1988 (1988-09-12)",Glam metal,"5:16 (album version)
3:54 (single version)",Mercury,"Jon Bon Jovi, Richie Sambora, Desmond Child",Bruce Fairbairn
"Bad, Bad Leroy Brown",,"March 20, 1973",Boogie-woogie,3:02,"ABC, Vertigo,",Jim Croce,"Terry Cashman, Tommy West"
Bailamos,,18 June 1999 (1999-06-18) (Japan),Latin pop,3:38,", Fonovisa, 
, Universal,","Paul Barry, Mark Taylor","Mark Taylor, Brian Rawling"
The Ballad of the Green Berets,,January 1966,"Country, folk, pop, march",2:27,RCA Victor,"Robin Moore, Staff Sgt., Barry Sadler","Andy Wiswell, [, 2, ]"
La Bamba (song),,October 1958,"Rock and roll, chicano rock, rock en español",2:06,Del-Fi,"Traditional, adapted by Ritchie Valens",Bob Keane
Band on the Run (song),,1974,Rock,5:09 (album version)3:50 (radio edit),Apple,"Paul McCartney, Linda McCartney",Paul McCartney
A Bar Song (Tipsy),,"April 12, 2024 (2024-04-12)",Country,2:53,", American Dogwood, 
, Magnolia, 
, Empire, 
, Republic,","Collins Chibueze, Nevin Sastry, Sean Cook, Jerrell Jones, Mark Williams","Nevin Sastry, Sean Cook"
Batdance,,"June 8, 1989","Rock, funk, dance","4:06 (7-inch edit)
6:13 (album and 12-inch version)",Warner Bros.,Prince,Prince
The Battle of New Orleans,,"April 6, 1959","Country, novelty, march",2:33,Columbia,Jimmy Driftwood,Don Law
Be with You (Enrique Iglesias song),,29 February 2000 (2000-02-29),"Dance-pop, house",3:40,Interscope,"Enrique Iglesias, Paul Barry, Mark Taylor","Mark Taylor, Brian Rawling"
Beat It,,"February 14, 1983","Hard rock, dance-rock",4:18,Epic,Michael Jackson,"Quincy Jones, Michael Jackson"
Beautiful Girls (Sean Kingston song),,"May 26, 2007 (2007-05-26)","Pop, doo-wop, reggae",4:02 (album version)3:43 (radio edit),Epic,"Kisean Anderson, Johnathan Rotem, Jerome Leiber, Michael Stoller, Ben E. King, Peter Harrison","J. R. Rotem, Peter Harrison"
Because I Love You (The Postman Song),,"September 1, 1990",Pop,"5:05 (album version)
3:46 (radio edit)",", LMR, 
, RCA,",Warren Allen Brooks,Stevie B
Because You Loved Me,,19 February 1996 (1996-02-19),Pop,4:33,", Columbia, 
, Epic,",Diane Warren,David Foster
Before the Next Teardrop Falls (song),,January 1975,"Country pop, Tejano",2:33,", Crazy Cajun,  , 2002, 
, ABC-Dot,  , 17540,","Vivian Keith, Ben Peters",Huey P. Meaux
Believe (Cher song),,"October 19, 1998 (1998-10-19)","Eurodance, dance-pop, electropop, dance",3:59,Warner Bros.,"Brian Higgins, Stuart McLennen, Paul Barry, Steven Torch, Matthew Gray, Timothy Powell, Cher (uncredited)","Mark Taylor, Brian Rawling"
Ben (song),,"July 12, 1972","Pop, adult contemporary",2:44,Motown,"Don Black, Walter Scharf",The Corporation
Bennie and the Jets,,4 February 1974,"Glam rock, R&B",5:23,", MCA, 
, DJM,","Elton John, Bernie Taupin",Gus Dudgeon
Bent (song),,"April 17, 2000 (2000-04-17)",Rock,4:16,", Atlantic, 
, Lava, 
, Melisma,",Rob Thomas,Matt Serletic
Best of My Love (Eagles song),,"November 5, 1974","Soft rock, country rock",3:25 (single edit)4:34 (album version),Asylum,"Don Henley, Glenn Frey, JD Souther",Glyn Johns
Best of My Love (The Emotions song),,"June 9, 1977 (1977-06-09)","Disco, gospel, soul",3:42,Columbia,"Maurice White, Al McKay","Maurice White, Clarence McDonald"
Bette Davis Eyes,,"March 10, 1981","New wave, soft rock, synth-rock",3:48,EMI America,"Donna Weiss, ·, Jackie DeShannon",Val Garay
Big Bad John,,September 1961,"Country, talking blues",3:00,Columbia,Jimmy Dean,Don Law
Big Girls Don't Cry (Fergie song),,"May 22, 2007 (2007-05-22)",Pop,4:28,", A&M, 
, will.i.am, 
, Interscope,","Stacy Ferguson, Toby Gad",will.i.am
Big Girls Don't Cry (The Four Seasons song),,October 1962,"Rock and roll, pop, doo-wop",2:26,Vee-Jay,"Bob Crewe, Bob Gaudio",Bob Crewe
A Big Hunk o' Love,,"June 23, 1959 (1959-06-23)","Rock and roll, rockabilly",2:12,RCA Victor,"Aaron Schroeder, Sidney Wyche",Steve Sholes
Billie Jean,,"January 3, 1983","Post-disco, R&B, funk, dance-pop","4:57 (original album/European single version)[2]
4:52 (album reissue/US single version with early fade out)
6:21 (12-inch version)",Epic,Michael Jackson,"Quincy Jones, Michael Jackson"
"Bills, Bills, Bills",,"May 31, 1999 (1999-05-31)",R&B,4:15 (album version)3:58 (radio edit),Columbia,"Kevin Briggs, Kandi Burruss, Beyoncé Knowles, LeToya Luckett, Kelly Rowland","Kevin ""She'kspere"" Briggs"
Billy Don't Be a Hero,,April 1974,Pop,3:59 (album version)3:45 (radio edit),Mercury,"Mitch Murray, Peter Callander","Mitch Murray, Peter Callander"
Black and White (Pete Seeger song),,August 1972,Pop,3:51 (album)3:24 (single),Dunhill,"David I. Arkin, Earl Robinson",Richard Podolor
Black and Yellow,,"September 14, 2010",Hip hop,3:37,", Rostrum, 
, Atlantic,","Cameron Thomaz, Mikkel S. Eriksen, Tor Erik Hermansen",Stargate
Black Beatles,,2016,"Hip hop, trap",4:51[1],"EarDrummers, Interscope","Khalif Brown, Aaquil Brown, Radric Davis, Michael Williams",Mike WiLL Made It
Black Cat (song),,"August 28, 1990 (1990-08-28)","Hard rock, pop rock, dance-rock, glam metal",4:50,A&M,Janet Jackson,"Jellybean Johnson, Janet Jackson"
Black or White,,"November 11, 1991 (1991-11-11)","Pop rock, hip hop","4:16 (album version)
3:22 (single version)",Epic,"Michael Jackson, Bill Bottrell","Michael Jackson, Bill Bottrell"
Black Velvet (song),,July 1989 (Canada)December 1989 (U.S),"Country rock, blues rock",4:47 (album version)4:02 (single version),Atlantic,"David Tyson, Christopher Ward",David Tyson
Black Water (song),,"November 15, 1974","Roots rock, country rock, Southern rock, bluegrass",4:15,Warner Bros.,Patrick Simmons,Ted Templeman
Blame It on the Rain,,July 1989,Dance-pop,"4:19 (album version)
4:08 (single version)",", Hansa, 
, Arista,",Diane Warren,Frank Farian
Blank Space,,"November 10, 2014 (2014-11-10)",Electropop,3:52,Big Machine,"Taylor Swift, Max Martin, Shellback","Max Martin, Shellback"
Blaze of Glory (Jon Bon Jovi song),,"July 21, 1990","Hard rock, country rock","5:35
4:24 (edit)",Vertigo,Jon Bon Jovi,"Danny Kortchmar, Jon Bon Jovi"
Bleeding Love,,16 September 2007 (2007-09-16) (see release history),"Pop, R&B",4:22,", Syco Music, 
, J,","Jesse McCartney, Ryan Tedder",Ryan Tedder
Blinded by the Light,,February 1973 (1973-02),"Folk rock, boogie rock, R&B",5:06,Columbia,Bruce Springsteen,"Mike Appel, Jim Cretecos"
Blinding Lights,,"November 29, 2019 (2019-11-29)","Synth-pop, electropop, new wave, synthwave",3:22,", XO, 
, Republic,","Abel Tesfaye, Ahmad Balshe, Jason Quenneville, Max Martin, Oscar Holter","Max Martin, Oscar Holter, The Weeknd"
Blue Moon (1934 song),,,,,,,
Blue Velvet (song),,"September 21, 1951",Traditional pop,3:01,Columbia,"Bernie Wayne, Lee Morris",
Blurred Lines,,"March 27, 2013","R&B, pop, funk, hip hop, blue-eyed soul",4:25,", Star Trak, 
, Interscope,","Robin Thicke, Pharrell Williams, Clifford Harris Jr., Marvin Gaye, [, a, ]",Pharrell Williams
Bodak Yellow,,"June 16, 2017 (2017-06-16)","Hip hop, trap",3:43[3],", Atlantic, 
, KSR,","Belcalis Almánzar, Dieuson Octave, Klenord Raphael, Jorden Thorpe, Anthony White, Laquan Green","J. White Did It, Laquan Green"
Boogie Fever,,November 1975,"Disco, pop-soul, bubblegum pop",3:31,Capitol,"Freddie Perren, Kenneth St. Lewis",Freddie Perren
Boogie Oogie Oogie,,1978,"Disco, funk",5:37,Capitol,"Janice-Marie Johnson, Perry Kibble","Fonce Mizell, Larry Mizell"
Boom Boom Pow,,"February 22, 2009 (2009-02-22)","EDM, hip hop, electro","5:08 (album version)
4:12 (single version)
3:38 (radio edit)",Interscope,"William Adams, Allan Pineda, Jaime Gomez, Stacy Ferguson",will.i.am
Bootylicious,,"May 22, 2001 (2001-05-22)","R&B, pop, funk",3:28,Columbia,"Charlie Skilling, Beyoncé Knowles, Falonte Moore, Stevie Nicks","Rob Fusari, Beyoncé Knowles, Falonte Moore"
Born This Way (song),,"February 11, 2011 (2011-02-11)","Electropop, house",4:20,", Streamline, 
, KonLive, 
, Interscope,","Stefani Germanotta, Jeppe Laursen","Lady Gaga, Fernando Garibay, Jeppe Laursen, DJ White Shadow"
The Box (Roddy Ricch song),,"January 11, 2020","Hip hop, trap",3:16,", Atlantic, 
, Bird Vision,","Rodrick Moore, Jr., Samuel Gloade, Adarius Moragne, Aqeel Tate","30 Roc, Datboisqueeze, Zentachi"
